number,aspect_precision,aspect_recall,datetime_start,datetime_complete,duration,params_sub_thr_0,params_sub_thr_1,params_sub_thr_10,params_sub_thr_11,params_sub_thr_12,params_sub_thr_13,params_sub_thr_14,params_sub_thr_15,params_sub_thr_16,params_sub_thr_17,params_sub_thr_18,params_sub_thr_19,params_sub_thr_2,params_sub_thr_20,params_sub_thr_21,params_sub_thr_22,params_sub_thr_23,params_sub_thr_24,params_sub_thr_25,params_sub_thr_26,params_sub_thr_27,params_sub_thr_28,params_sub_thr_3,params_sub_thr_4,params_sub_thr_5,params_sub_thr_6,params_sub_thr_7,params_sub_thr_8,params_sub_thr_9,params_top_thr_0,params_top_thr_1,params_top_thr_2,params_top_thr_3,params_top_thr_4,params_top_thr_5,params_top_thr_6,params_top_thr_7,params_top_thr_8,state
304,0.6734392333624171,0.7759595314207854,2025-12-30 15:10:06.338224,2025-12-30 15:10:06.600095,0 days 00:00:00.261871,0.300492335446213,0.1600130972443618,0.15049249765089898,0.188780801057145,0.2086378952772223,0.35301536428915736,0.35763091377231915,0.20719380520142633,0.34549934343216626,0.2632060781992338,0.2745005985319487,0.19161615232954796,0.3111156070595725,0.49710639083857316,0.25215920024034233,0.4548601166287275,0.19678512478937965,0.3449499052539476,0.20730577304205736,0.4739937563138865,0.16819742411372643,0.4923061866113186,0.3244232785123226,0.4234206451592226,0.16198941224463756,0.43459149342637604,0.1806673985091829,0.2162432949465722,0.35554122920287035,0.168601975147053,0.1560645804922306,0.24682772836688985,0.3363325791410985,0.15069874739163214,0.2515318011678854,0.2345139154379608,0.442755809555139,0.3033861068546636,COMPLETE
307,0.6779518596004027,0.7663981756434727,2025-12-30 15:10:07.135544,2025-12-30 15:10:07.397600,0 days 00:00:00.262056,0.3939431873836669,0.21526517665094197,0.23261580814241695,0.30924466962026154,0.18522041943634526,0.3186887803041633,0.3750018351397369,0.18966174574252484,0.37121354279391977,0.2823073036449366,0.2299365336594245,0.1923187053640596,0.3900340526101571,0.4249353471650741,0.23604227219036114,0.3593366875952209,0.20928887558540904,0.4822635201777726,0.2782641214183764,0.4754848239081302,0.20597920781625123,0.45370975392918006,0.3441945223240217,0.41378431718100456,0.21722121280721327,0.4435482058791763,0.17205291820857996,0.28707100855003553,0.32995656392404354,0.16565260074813626,0.2287311433488896,0.3117324816723475,0.2686894055156417,0.16414965879816695,0.328497836163452,0.403294465158922,0.46868598611475043,0.28259168407836077,COMPLETE
310,0.6678028620865099,0.7785919103597982,2025-12-30 15:10:07.938507,2025-12-30 15:10:08.221295,0 days 00:00:00.282788,0.3549659719487399,0.1538621448615884,0.23021229360921797,0.21402585368346194,0.2057146429371239,0.30519978866974456,0.31092304198327636,0.2170761827259185,0.3571647240536531,0.292933319224361,0.3025825694997046,0.2595013199448361,0.26424807499142366,0.3889618978169015,0.2634390016563728,0.4919793973245561,0.22780888797673063,0.29056092406396716,0.29625426524638376,0.4290126948845747,0.1883969104935501,0.4804952966504132,0.16306696733936044,0.3865742443213854,0.19874832504614556,0.40235962915751844,0.172434847469071,0.24321051183274786,0.37467367249004563,0.19381588965356555,0.17967243612470613,0.2337030841034215,0.31479263497912696,0.16075005018918437,0.1642859728253159,0.20976016024425084,0.40305039118201824,0.291544821997432,COMPLETE
322,0.6984657260969446,0.7520448634768894,2025-12-30 15:10:12.049582,2025-12-30 15:10:12.314342,0 days 00:00:00.264760,0.3754612426882148,0.17236450584182414,0.4755284954575693,0.3464846124257886,0.4590677375410667,0.4567387259364278,0.335959039721359,0.16144798167132313,0.44901692627449397,0.2715217123581125,0.44897790361659246,0.42407440745068736,0.37935171109669935,0.4679103016848031,0.19604645358896905,0.3636237979749003,0.4396308243799775,0.49904886797832837,0.22329579537663186,0.4789894460468437,0.3229509692409274,0.4695556628247305,0.3483035494076002,0.242734269966563,0.18537645377059406,0.32494458603349186,0.2591678159806609,0.45904839812340226,0.44357310738387157,0.4108731224372246,0.39235138538270037,0.3909314659767242,0.3401848590829445,0.19799616383783727,0.4302049680092944,0.2367637266501533,0.48155530737768326,0.16189415962180634,COMPLETE
334,0.6965420303265119,0.7531139816827391,2025-12-30 15:10:15.290121,2025-12-30 15:10:15.561799,0 days 00:00:00.271678,0.32682102708243743,0.19932406284178328,0.49161890313791334,0.43737782663490676,0.3998341907660819,0.3800634176160785,0.3741094906671213,0.15842308488813672,0.2968633605377568,0.2835250707816455,0.44723095259523266,0.40480953365156164,0.3706529664087292,0.4133427607603207,0.18722734647033723,0.41467867139773906,0.4191554396468889,0.4890294773423454,0.22242752499591614,0.44431772906993483,0.4005957240335895,0.4112220723270377,0.37877858990511115,0.267596897781709,0.1793026135008249,0.2322929279166993,0.2211774924393737,0.4795516046813481,0.4718482791305926,0.44829248185361004,0.4808599462051953,0.3754748229708739,0.2793770919873162,0.2367865815139309,0.36433402224281725,0.20685273773995178,0.4407327128815176,0.15707728775927174,COMPLETE
347,0.6760445473296077,0.7678635195249227,2025-12-30 15:10:18.774860,2025-12-30 15:10:19.035410,0 days 00:00:00.260550,0.3326967941165724,0.20600839065858179,0.24247283173656625,0.21745349241060072,0.2452040590533917,0.39249999496400517,0.37438796365164784,0.20005010621326275,0.3366219394198977,0.2806713432366954,0.26698061346970986,0.156806528482657,0.34868525195316086,0.49043020013744376,0.22223983471952768,0.486529306294808,0.19064222875455855,0.36546152544456495,0.22236599911487365,0.4650542249777036,0.1838772687564839,0.49465460647598947,0.35601312630530313,0.47703435201472894,0.16125910954406708,0.4392858631037644,0.16591166273893213,0.2621850098516071,0.42337884453446545,0.2120489055558967,0.21768914083214458,0.2002355718289588,0.26538888436231267,0.1917145156318039,0.2556236039779048,0.3004076810857117,0.44233845137471667,0.2630294105292512,COMPLETE
369,0.6776280529128352,0.7666823687578428,2025-12-30 15:10:25.623159,2025-12-30 15:10:25.914484,0 days 00:00:00.291325,0.2097220695617575,0.21184171345936265,0.16347656484424783,0.20288872260974428,0.1735883436977303,0.36391848265637006,0.468273346398219,0.176687753677161,0.43103052800185154,0.3023367896303461,0.322628980212652,0.19135887876505925,0.3653356200827686,0.46782293079740583,0.19061164695317237,0.45617449216944844,0.1691036023459367,0.40228761221833426,0.22431714464311134,0.48503806387344983,0.19718411318476056,0.47510942772358944,0.3750204323303783,0.347610287050036,0.20432677232598703,0.40026095746533974,0.18351869795217485,0.17334430779210303,0.38029204080874296,0.21862624378230805,0.23689895041618886,0.37364968872270565,0.3667814328171768,0.1544484575258594,0.2470004896380622,0.2929835219669515,0.38490069475460403,0.3058232340472084,COMPLETE
380,0.6811385857282874,0.7658980085744551,2025-12-30 15:10:28.652838,2025-12-30 15:10:28.916630,0 days 00:00:00.263792,0.28895888644545886,0.25936260984026965,0.19652382577196542,0.21634941195291876,0.21672952947937948,0.32316220652359195,0.4329001887028863,0.20529546570887547,0.30845475129371047,0.27820442184054395,0.2958948057189965,0.18679777470632128,0.32946720903261556,0.49674027995909986,0.1932571236694532,0.3985459841598086,0.32067175614530014,0.3770057345092046,0.2770066059325754,0.42584534529207635,0.2472113522407752,0.47990605505262834,0.3201499560832679,0.4067274044360675,0.16432916481720555,0.3309442460831533,0.18879803328546435,0.24016408812720086,0.35545277213564425,0.2236598119247435,0.18783770502712907,0.27912069311136295,0.40845231782931873,0.16034144191945213,0.24474742302495345,0.2421988453551202,0.47461632684602273,0.2948341978807512,COMPLETE
383,0.6957335765940438,0.7538349145495156,2025-12-30 15:10:29.470838,2025-12-30 15:10:29.736969,0 days 00:00:00.266131,0.39389366335253967,0.1500254631643042,0.4942410603816275,0.3127297027872207,0.43012533202792,0.49514613902968163,0.43935111335596055,0.1518723929103145,0.3802353399579347,0.22488128141693609,0.4752275764991157,0.37784921364949353,0.3620986313876343,0.412037682863565,0.17075218530833233,0.3137194576296755,0.4318262154090824,0.41609512093579737,0.1992871007950199,0.4697645137062721,0.2893581590316127,0.4617448361091726,0.3121080160496833,0.25523257717553743,0.24432058476261456,0.4114157874130169,0.26152703934720195,0.4893476737112408,0.466559584677855,0.482634948387835,0.4169460401156527,0.370086750683715,0.3611841744196601,0.20558736677192221,0.36530276037059345,0.19147638700148223,0.487553264312179,0.2156110635142492,COMPLETE
410,0.6887684430192519,0.7609275964053851,2025-12-30 15:10:37.796154,2025-12-30 15:10:38.065377,0 days 00:00:00.269223,0.29290714176010374,0.18580836119999902,0.438599876505968,0.29736408109061935,0.34501569130421267,0.4992783860047041,0.3362925124296656,0.16561769193324108,0.2836353539950851,0.29867473374144055,0.42665752495261716,0.41060403466612727,0.3804726274651911,0.46211747700754885,0.20335318386893458,0.3601636292704823,0.44258772857397577,0.4320524745200432,0.18960448778845007,0.49437585035584825,0.2787985455572142,0.3702944236900461,0.3274208687185718,0.2005684840298543,0.16077323999349866,0.3918977740109965,0.22150163302082312,0.38232578859864624,0.40599439460114073,0.4029017857012626,0.4145520581253142,0.4600629358381639,0.3833017924234636,0.2323167091660328,0.45166284268825546,0.19746489558264652,0.45129753573348197,0.1575020094575984,COMPLETE
412,0.6821573859738501,0.7650467320625315,2025-12-30 15:10:38.338846,2025-12-30 15:10:38.605637,0 days 00:00:00.266791,0.45935411153117117,0.1786742854338155,0.3647870975711164,0.2542002003555952,0.36248416692026375,0.40827676523168177,0.3984952606038378,0.17559320289571628,0.2501065679261226,0.15907105271438848,0.4770437965447227,0.29192698513323406,0.34703944249612967,0.3972267314073377,0.29997017169959195,0.30498965061908456,0.24700253082016616,0.4330573390948874,0.1746486467244983,0.35311893764567986,0.2362753237141687,0.4320444303058771,0.3279867310343022,0.40248031256396355,0.15562602090746355,0.2764268729081409,0.21534158106903029,0.34083028267825427,0.4504880224679131,0.46528853645667734,0.2573267299911344,0.36963210303542227,0.4425811447825104,0.23007561752279032,0.24520124301399726,0.2030170203671863,0.4261565121439809,0.15179875005273175,COMPLETE
444,0.6920201716166734,0.7564498781643949,2025-12-30 15:10:47.294254,2025-12-30 15:10:47.710545,0 days 00:00:00.416291,0.3984100876232191,0.1684585284736139,0.32420705138022937,0.2534454472600603,0.2749903169636617,0.32475199302994884,0.23264820004284514,0.23133539615973184,0.3861576304314049,0.24829033541194856,0.4586302223051531,0.24738026861722537,0.4925028400774555,0.38109192118052043,0.36718221460346867,0.38738012517432285,0.3777283735936804,0.4344440133247982,0.1875855852485775,0.4668379502802195,0.34909818665818804,0.35444360402182196,0.4171305119449923,0.3089835711417699,0.16693760262927837,0.349304299926546,0.2612492542309,0.1605816852131646,0.4714911753442337,0.3521705723660845,0.2387878154193966,0.4245870328272183,0.37086565935398513,0.16888298977659216,0.3184604830686642,0.16972037997943504,0.4428073804433436,0.2597083673059597,COMPLETE
465,0.6906947324091071,0.7596876757328331,2025-12-30 15:10:53.935857,2025-12-30 15:10:54.220119,0 days 00:00:00.284262,0.39963364057767164,0.2284890929158187,0.35240459431215443,0.2437227012030652,0.2912658044460072,0.3707533910645654,0.36487480201340944,0.1695955828903051,0.3500414440036688,0.20301183397352124,0.4356564785184081,0.2985678777497619,0.47237433058462125,0.47547753088708233,0.3093654011697565,0.39146246644478805,0.2867207588598166,0.4580618682613762,0.15041108927426264,0.38102668491379815,0.3503521001978042,0.30907901532085025,0.3793718045079954,0.29300724147239143,0.1511744175496114,0.26075898397831965,0.2373046606249515,0.326392442248133,0.45580920254139407,0.4293279133789028,0.3098629037345768,0.36141752883219586,0.4719225168190737,0.1573377417771972,0.24352674704215127,0.1713863829344127,0.49686475338651115,0.24668681848343713,COMPLETE
476,0.694345396461409,0.7558508339596401,2025-12-30 15:10:57.043476,2025-12-30 15:10:57.323452,0 days 00:00:00.279976,0.3203518915818738,0.15827474782707998,0.276514089792372,0.3568316250262875,0.31636427886784346,0.41464804613900524,0.2617666664556741,0.16915048064862995,0.4213710282792235,0.17249317556267563,0.48996117998011224,0.22681924334969514,0.3754265113910447,0.47812962711493967,0.24747780012740178,0.3497313069887118,0.27024850571073417,0.4865501366953571,0.21859488561335882,0.4948919035923629,0.2941563939678982,0.47457731770089157,0.4178543022420969,0.3084436015984138,0.2222924914408625,0.3694679340805628,0.31984894806653813,0.36934567841366506,0.4108539117335386,0.37528573753763994,0.2287443988457605,0.3465050119044234,0.4783083793807537,0.15803940699254432,0.4136743635072173,0.19171567567928144,0.3766306442439657,0.19343181700698897,COMPLETE
484,0.6577713838400271,0.7818005320398186,2025-12-30 15:10:59.290679,2025-12-30 15:10:59.561364,0 days 00:00:00.270685,0.33938294503478095,0.16203666205823114,0.17204869824136132,0.1848270101534998,0.20635239825010224,0.3524932231186214,0.22138894265511588,0.19072873797196002,0.3666249497005998,0.24534651442625882,0.22864836181100656,0.20791862862528795,0.18614605449232466,0.3888726862964569,0.1757227230424026,0.47003620125111545,0.3314530339619572,0.3089386324696285,0.2046746141259731,0.35551880470844155,0.19473209104806324,0.47592621541656055,0.171092041762085,0.3447256590904426,0.26115506145618533,0.3583683323035048,0.15570027137836287,0.1867110063026564,0.40585733676408814,0.22649854249708867,0.16357713842791724,0.33515979680443847,0.35766634509667894,0.23396268997186678,0.17708150631085762,0.23572674787689116,0.448583029325087,0.26304261552332064,COMPLETE
496,0.6843350250863572,0.7637708065061429,2025-12-30 15:11:03.583406,2025-12-30 15:11:03.859285,0 days 00:00:00.275879,0.3837504654231923,0.15236604746877014,0.4573135112734312,0.24536490818188944,0.3567946251991352,0.4207533496756713,0.2914380305983685,0.20317671991185465,0.387042896030155,0.22217374253031472,0.48999291480185714,0.3063512505520451,0.4242734233656281,0.33221122217350335,0.1933260304541409,0.3492604106308749,0.25659856854862056,0.43878234700210905,0.2510641244802325,0.4148771188505941,0.35680065507975495,0.36439785662929014,0.2754527672890969,0.39611579770534666,0.18399948818907857,0.34787743361184414,0.1990591798701049,0.2772164768127415,0.41829933013725545,0.41302360012304745,0.3161102215087252,0.3739944844046587,0.3829920166306941,0.17081794347293022,0.2964995178964278,0.21968508570561962,0.46530314565021186,0.17089819731183906,COMPLETE
497,0.6546158238429309,0.7833904262952033,2025-12-30 15:11:03.860428,2025-12-30 15:11:04.156340,0 days 00:00:00.295912,0.21313554229177137,0.17091661851995346,0.2633480881138134,0.1671302108624655,0.18222900157175842,0.35981989297000394,0.16288359913145095,0.15674318336573495,0.36082737411011573,0.24996708860910397,0.1747038520646856,0.25532691925457596,0.1693915754253995,0.4745099817243632,0.19843801561046268,0.468988279728817,0.2444134451491261,0.36630171803297384,0.19623558413289982,0.38590188791475516,0.16268187527085168,0.491457881668239,0.1670084583695971,0.35693514940697973,0.30579804646673,0.3142812934662063,0.17788289094953189,0.1605074183139572,0.40188202634040393,0.3195203235518495,0.1980596819162603,0.4256556437037551,0.3820046426187137,0.25514228343997364,0.16107540052137334,0.29650069418576813,0.3472776577810821,0.21431611008554144,COMPLETE
